C copy string: r=a:bc;s=a:bdr;ars,brs,crs,drs; ineq: base20.txt
I  969.71] Elapsed: 16:10, vertices: 5044, facets final: 6223, pending: 19022, pool: 299
I  974.75] Elapsed: 16:15, vertices: 5080, facets final: 6506, pending: 18635, pool: 297
I  979.80] Elapsed: 16:20, vertices: 5114, facets final: 6879, pending: 18206, pool: 299
I  984.80] Elapsed: 16:25, vertices: 5149, facets final: 7205, pending: 17737, pool: 296
I  989.89] Elapsed: 16:30, vertices: 5184, facets final: 7589, pending: 17181, pool: 298
I  994.94] Elapsed: 16:35, vertices: 5218, facets final: 8014, pending: 16631, pool: 294
I 1000.03] Elapsed: 16:40, vertices: 5252, facets final: 8526, pending: 16002, pool: 293
I 1005.03] Elapsed: 16:45, vertices: 5285, facets final: 9014, pending: 15370, pool: 297
I 1010.03] Elapsed: 16:50, vertices: 5318, facets final: 9495, pending: 14803, pool: 297
I 1015.06] Elapsed: 16:55, vertices: 5352, facets final: 10005, pending: 14204, pool: 286
I 1020.11] Elapsed: 17:00, vertices: 5384, facets final: 10764, pending: 13355, pool: 278
I 1025.11] Elapsed: 17:05, vertices: 5418, facets final: 11337, pending: 12664, pool: 273
I 1030.22] Elapsed: 17:10, vertices: 5452, facets final: 12024, pending: 11869, pool: 278
I 1035.32] Elapsed: 17:15, vertices: 5484, facets final: 12837, pending: 10960, pool: 278
I 1040.36] Elapsed: 17:20, vertices: 5520, facets final: 13355, pending: 10336, pool: 263
I 1045.42] Elapsed: 17:25, vertices: 5556, facets final: 14148, pending: 9457, pool: 242
I 1050.48] Elapsed: 17:30, vertices: 5595, facets final: 14899, pending: 8659, pool: 222
I 1055.48] Elapsed: 17:35, vertices: 5632, facets final: 15826, pending: 7664, pool: 207
I 1060.48] Elapsed: 17:40, vertices: 5676, facets final: 16721, pending: 6708, pool: 175
I 1065.48] Elapsed: 17:45, vertices: 5721, facets final: 17855, pending: 5508, pool: 154
I 1070.49] Elapsed: 17:50, vertices: 5772, facets final: 19089, pending: 4201, pool: 129
I 1075.49] Elapsed: 17:55, vertices: 5822, facets final: 20550, pending: 2670, pool: 112
I 1080.49] Elapsed: 18:00, vertices: 5878, facets final: 22155, pending: 985, pool: 84
I 1085.50] Elapsed: 18:06, vertices: 6000, facets final: 22949, pending: 87, pool: 17
I 1086.03] Elapsed: 18:06, vertices: 6028, facets final: 23015, pending: 0

--------------------------------
Problem completed
 name                    41.vlp
 output                  vlp/41.res
 rows, cols, objs        35, 2005, 10
 vertices, facets        6028, 23015
 total time              18:06
--------------------------------
Statistics
LP:
 oracle calls            30861
   avg iterations/calls  7.75
 total oracle time       46.97
Combinatorics:
 vertices added          6028
 facets probed           74509
 facets # max            51869
 memory allocated        98.72M
 storage expansion
   vertices # / upto     48 / 6140
   facets   # / upto     13 / 53244
 facet manipulating
   added avg / max       137.40 / 1.91k
   compressed            324
 number of ridge tests
   avg / max             5.04M / 42.29M
--------------------------------
Parameters with non-default values
 VertexPoolSize = 300
 PolytopeEps = 8e-09
