C copy string: rs=cd:ab;tu=ar:bcs;vw=bt:acr
I 2432.82] Elapsed: 40:33, vertices: 276, facets final: 84, pending: 2868
I 2439.81] Elapsed: 40:40, vertices: 276, facets final: 85, pending: 2867
I 2445.80] Elapsed: 40:46, vertices: 277, facets final: 85, pending: 2889
I 2455.61] Elapsed: 40:56, vertices: 278, facets final: 85, pending: 2911
I 2466.79] Elapsed: 41:07, vertices: 279, facets final: 85, pending: 2923
I 2477.81] Elapsed: 41:18, vertices: 281, facets final: 85, pending: 2938
I 2488.80] Elapsed: 41:29, vertices: 282, facets final: 86, pending: 2939
I 2502.02] Elapsed: 41:42, vertices: 283, facets final: 86, pending: 2976
I 2510.69] Elapsed: 41:51, vertices: 284, facets final: 86, pending: 2972
I 2519.37] Elapsed: 41:59, vertices: 286, facets final: 86, pending: 2983
I 2528.49] Elapsed: 42:08, vertices: 288, facets final: 86, pending: 3040
I 2536.70] Elapsed: 42:17, vertices: 289, facets final: 86, pending: 3081
I 2545.40] Elapsed: 42:25, vertices: 290, facets final: 86, pending: 3023
I 2551.96] Elapsed: 42:32, vertices: 292, facets final: 87, pending: 3021
I 2564.84] Elapsed: 42:45, vertices: 292, facets final: 87, pending: 3021
I 2573.00] Elapsed: 42:53, vertices: 294, facets final: 88, pending: 3007
I 2583.24] Elapsed: 43:03, vertices: 295, facets final: 88, pending: 3004
I 2589.34] Elapsed: 43:09, vertices: 296, facets final: 88, pending: 3009
I 2605.65] Elapsed: 43:26, vertices: 297, facets final: 89, pending: 3022
I 2620.55] Elapsed: 43:41, vertices: 297, facets final: 90, pending: 3021
I 2636.99] Elapsed: 43:57, vertices: 298, facets final: 91, pending: 3005
I 2642.70] Elapsed: 44:03, vertices: 298, facets final: 91, pending: 3005
I 2648.53] Elapsed: 44:09, vertices: 299, facets final: 92, pending: 3001
I 2659.42] Elapsed: 44:19, vertices: 299, facets final: 93, pending: 3000
I 2664.55] Elapsed: 44:25, vertices: 300, facets final: 93, pending: 2955
I 2664.55] recalculating facets...
I 2671.36] Elapsed: 44:31, vertices: 302, facets final: 94, pending: 2953
I 2681.17] Elapsed: 44:41, vertices: 302, facets final: 94, pending: 2953
I 2689.99] Elapsed: 44:50, vertices: 303, facets final: 94, pending: 2942
I 2697.99] Elapsed: 44:58, vertices: 304, facets final: 95, pending: 2933
I 2712.13] Elapsed: 45:12, vertices: 304, facets final: 95, pending: 2933
I 2720.96] Elapsed: 45:21, vertices: 305, facets final: 95, pending: 2972
I 2732.35] Elapsed: 45:32, vertices: 307, facets final: 95, pending: 2995
I 2740.95] Elapsed: 45:41, vertices: 308, facets final: 95, pending: 2989
I 2747.27] Elapsed: 45:47, vertices: 309, facets final: 96, pending: 2981
I 2754.61] Elapsed: 45:55, vertices: 309, facets final: 97, pending: 2980
I 2761.49] Elapsed: 46:01, vertices: 309, facets final: 98, pending: 2979
I 2769.44] Elapsed: 46:09, vertices: 311, facets final: 98, pending: 2970
I 2789.31] Elapsed: 46:29, vertices: 312, facets final: 99, pending: 2966
I 2796.28] Elapsed: 46:36, vertices: 313, facets final: 99, pending: 2944
I 2808.14] Elapsed: 46:48, vertices: 314, facets final: 99, pending: 2971
I 2818.33] Elapsed: 46:58, vertices: 316, facets final: 100, pending: 2959
