# Entropy inequalities by Dougherty-Freiling-Zeger
# First 11 numbers are the coefficients,
#   then the copy string used
#   then the id of the inequality
#   then the indication whether is has been superseded
#
# The coordinates are:
# [a,b,c,d]  (a,b|c) (a,c|b) (b,c|a)  (a,b|d) (a,d|b) (b,d|a)
#            (c,d|a) (c,d|b) (c,d) (a,b|cd)
#
1, 1,1,1, 0,0,0, 0,0,0,0, r=c:ab, dfz:0:0, S
7, 0,5,1, 6,5,6, 0,0,0,0, rs=cd:ab;t=a:bcs;u=s:abcdt, dfz:75:133, S
12, 4,25,18, 0,3,0, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=t:acs, dfz:134:134, S
8, 4,5,9, 0,8,4, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:acr, dfz:122:135, S
5, 1,14,9, 0,1,2, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=a:bdrt, dfz:136:136
15, 12,45,5, 0,27,11, 0,0,0,0, rs=cd:ab;t=(cs):ab;u=a:bcrt, dfz:137:137, S
10, 8,12,4, 11,7,0, 0,0,0,0, rs=cd:ab;t=r:ad;u=r:adt, dfz:129:138
9, 8,9,6, 2,4,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=c:abrst, dfz:131:139, S
11, 4,6,0, 18,16,3, 0,0,0,0, rs=cd:ab;t=r:ad;u=s:adt, dfz:140:140
18, 4,51,30, 0,3,6, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=a:bcst, dfz:125:141
3, 0,1,1, 3,6,1, 0,0,0,0, rs=ac:bd;t=b:adr;u=b:ars, dfz:142:142
18, 14,13,16, 0,13,2, 0,0,0,0, rs=cd:ab;t=a:bcs;u=(bt):acs, dfz:143:143
6, 8,9,2, 0,2,3, 0,0,0,0, rs=cd:ab;t=a:bcr;u=(ds):abt, dfz:144:144
14, 10,13,14, 0,11,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=(bt):acr, dfz:92:145, S
5, 4,5,4, 1,2,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=c:abrt, dfz:71:146, S
6, 11,9,2, 3,0,3, 0,0,0,0, rs=cd:ab;t=c:ar;u=t:bd, dfz:147:147
4, 7,1,7, 0,6,2, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:br, dfz:114:148
18, 12,20,12, 19,15,0, 0,0,0,0, rs=cd:ab;t=c:as;u=b:acrt, dfz:149:149, S
8, 2,22,13, 0,1,2, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=a:bdrt, dfz:136:150, S
5, 3,3,5, 0,5,2, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:acr, dfz:122:151
9, 10,7,5, 3,8,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:as, dfz:152:152, S
4, 0,5,6, 1,4,4, 0,0,0,0, rs=cd:ab;t=(cs):ab;u=a:bcrt, dfz:137:153
14, 0,0,0, 14,13,10, 0,11,0,0, rs=ac:bd;t=d:abs;u=(bt):adr, dfz:123:154, S
7, 1,6,0, 8,6,4, 0,0,0,0, rs=cd:ab;t=a:bcs;u=s:abcdt, dfz:75:155, S
7, 0,2,1, 11,26,2, 0,0,0,0, rs=ac:bd;t=(ar):bd;u=a:bcrt, dfz:156:156
11, 8,34,4, 0,20,8, 0,0,0,0, rs=cd:ab;t=(cs):ab;u=a:bcrt, dfz:137:157, S
4, 1,4,5, 0,3,3, 0,0,0,0, rs=cd:ab;t=(cs):ab;u=a:bds, dfz:158:158
5, 8,8,1, 3,3,0, 0,0,0,0, rs=cd:ab;t=c:ar;u=r:ad, dfz:159:159
6, 1,15,12, 0,2,3, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=a:bcst, dfz:125:160, S
14, 7,9,17, 0,12,6, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:acr, dfz:122:161, S
3, 0,2,0, 2,2,4, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:as, dfz:152:162
4, 2,2,0, 3,4,3, 0,0,0,0, rs=cd:ab;t=a:bcr;u=d:ar, dfz:163:163, S
19, 13,21,12, 21,17,0, 0,0,0,0, rs=cd:ab;t=c:as;u=b:acrt, dfz:149:164, S
10, 10,9,7, 1,5,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=c:abrt, dfz:71:165, S
8, 0,3,2, 13,34,2, 0,0,0,0, rs=ac:bd;t=(ar):bd;u=r:abst, dfz:166:166
6, 0,1,2, 2,7,6, 0,0,0,0, rs=cd:ab;t=a:bcr;u=b:adr, dfz:167:167
4, 1,0,1, 6,3,2, 0,4,0,0, rs=ac:bd;t=a:bcr;u=d:abr, dfz:168:168
4, 1,1,0, 1,9,7, 0,0,0,0, rs=ac:bd;t=a:bcr;u=a:dr, dfz:169:169
5, 3,3,5, 0,4,4, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:acr, dfz:122:170, S
4, 0,7,0, 9,1,9, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:bd, dfz:171:171
9, 2,4,0, 16,12,3, 0,0,0,0, rs=cd:ab;t=c:as;u=d:ast, dfz:42:172
5, 1,6,7, 0,4,4, 0,0,0,0, rs=cd:ab;t=(cs):ab;u=a:bds, dfz:158:173
6, 3,5,9, 2,0,2, 0,0,0,0, rs=cd:ab;t=a:bcr;u=r:bd, dfz:174:174
7, 0,3,2, 4,6,6, 0,0,0,0, rs=cd:ab;t=a:bcs;u=b:acs, dfz:175:175, S
